device=cpu actor_params=10242
[mappo iter     25] train 0.8116 | val 1.0000+-0.0000 | tau 0.99 | 21s
[mappo iter     50] train 0.7658 | val 0.9286+-0.0181 | tau 0.99 | 42s
[mappo iter     75] train 0.7560 | val 0.8178+-0.0568 | tau 0.98 | 64s
[mappo iter    100] train 0.7439 | val 0.7387+-0.0419 | tau 0.98 | 84s
[mappo iter    125] train 0.7242 | val 0.7068+-0.0304 | tau 0.97 | 105s
[mappo iter    150] train 0.7158 | val 0.7135+-0.0340 | tau 0.96 | 126s
[mappo iter    175] train 0.7077 | val 0.7020+-0.0298 | tau 0.96 | 148s
[mappo iter    200] train 0.6978 | val 0.7075+-0.0369 | tau 0.95 | 171s
[mappo iter    225] train 0.6915 | val 0.6862+-0.0464 | tau 0.94 | 195s
[mappo iter    250] train 0.6837 | val 0.6628+-0.0362 | tau 0.94 | 217s
[mappo iter    275] train 0.6831 | val 0.6630+-0.0305 | tau 0.93 | 240s
[mappo iter    300] train 0.6798 | val 0.6595+-0.0313 | tau 0.93 | 265s
[mappo iter    325] train 0.6803 | val 0.6493+-0.0372 | tau 0.92 | 292s
[mappo iter    350] train 0.6703 | val 0.6571+-0.0329 | tau 0.91 | 319s
[mappo iter    375] train 0.6682 | val 0.6485+-0.0352 | tau 0.91 | 345s
[mappo iter    400] train 0.6688 | val 0.6533+-0.0397 | tau 0.90 | 371s
[mappo iter    425] train 0.6586 | val 0.6537+-0.0344 | tau 0.89 | 397s
[mappo iter    450] train 0.6571 | val 0.6399+-0.0455 | tau 0.89 | 426s
[mappo iter    475] train 0.6498 | val 0.6354+-0.0399 | tau 0.88 | 452s
[mappo iter    500] train 0.6490 | val 0.6380+-0.0442 | tau 0.88 | 479s
[mappo iter    525] train 0.6503 | val 0.6344+-0.0416 | tau 0.87 | 502s
[mappo iter    550] train 0.6414 | val 0.6363+-0.0421 | tau 0.86 | 525s
[mappo iter    575] train 0.6440 | val 0.6424+-0.0388 | tau 0.86 | 548s
[mappo iter    600] train 0.6361 | val 0.6355+-0.0457 | tau 0.85 | 570s
[mappo iter    625] train 0.6342 | val 0.6418+-0.0493 | tau 0.84 | 593s
[mappo iter    650] train 0.6305 | val 0.6352+-0.0462 | tau 0.84 | 616s
[mappo iter    675] train 0.6397 | val 0.6322+-0.0475 | tau 0.83 | 639s
[mappo iter    700] train 0.6293 | val 0.6318+-0.0441 | tau 0.83 | 662s
[mappo iter    725] train 0.6292 | val 0.6303+-0.0489 | tau 0.82 | 685s
[mappo iter    750] train 0.6254 | val 0.6353+-0.0459 | tau 0.81 | 707s
[mappo iter    775] train 0.6190 | val 0.6299+-0.0475 | tau 0.81 | 729s
[mappo iter    800] train 0.6241 | val 0.6316+-0.0441 | tau 0.80 | 752s
[mappo iter    825] train 0.6200 | val 0.6329+-0.0501 | tau 0.79 | 775s
[mappo iter    850] train 0.6222 | val 0.6341+-0.0485 | tau 0.79 | 797s
[mappo iter    875] train 0.6242 | val 0.6320+-0.0451 | tau 0.78 | 820s
[mappo iter    900] train 0.6223 | val 0.6264+-0.0485 | tau 0.78 | 843s
[mappo iter    925] train 0.6154 | val 0.6401+-0.0501 | tau 0.77 | 866s
[mappo iter    950] train 0.6180 | val 0.6343+-0.0454 | tau 0.76 | 888s
[mappo iter    975] train 0.6161 | val 0.6381+-0.0385 | tau 0.76 | 910s
[mappo iter   1000] train 0.6259 | val 0.6486+-0.0291 | tau 0.75 | 933s
[mappo iter   1025] train 0.6162 | val 0.6471+-0.0284 | tau 0.74 | 956s
[mappo iter   1050] train 0.6158 | val 0.6273+-0.0418 | tau 0.74 | 978s
[mappo iter   1075] train 0.6155 | val 0.6383+-0.0332 | tau 0.73 | 1001s
[mappo iter   1100] train 0.6163 | val 0.6298+-0.0436 | tau 0.73 | 1023s
