DN-WTA v3 family evaluation
  split=train instances=dn_5x100_K10_s03.txt, dn_5x100_K10_s04.txt, dn_5x100_K10_s05.txt, dn_5x100_K10_s06.txt, dn_5x100_K10_s07.txt, dn_5x100_K10_s08.txt, dn_5x100_K10_s09.txt, dn_5x100_K10_s10.txt, dn_5x100_K10_s11.txt, dn_5x100_K10_s12.txt, dn_5x100_K10_s13.txt, dn_5x100_K10_s14.txt, dn_5x100_K10_s15.txt, dn_5x100_K10_s16.txt, dn_5x100_K10_s17.txt, dn_5x100_K10_s18.txt, dn_5x100_K10_s19.txt, dn_5x100_K10_s20.txt, dn_5x100_K10_s21.txt, dn_5x100_K10_s22.txt, dn_5x100_K10_s23.txt, dn_5x100_K10_s24.txt, dn_5x100_K10_s25.txt, dn_5x100_K10_s26.txt
  policy=marl seeds=30 (base 42) timelimit=30s

=== dn_5x100_K10_s03.txt (m=5 n=100 K=10 mu=6 pool=30 total_value=8419) ===
  MC runs done: 1/30
  MC runs done: 2/30
  MC runs done: 3/30
  MC runs done: 4/30
  MC runs done: 5/30
  MC runs done: 6/30
  MC runs done: 7/30
  MC runs done: 8/30
  MC runs done: 9/30
  MC runs done: 10/30
  MC runs done: 11/30
  MC runs done: 12/30
  MC runs done: 13/30
  MC runs done: 14/30
  MC runs done: 15/30
  MC runs done: 16/30
  MC runs done: 17/30
  MC runs done: 18/30
  MC runs done: 19/30
  MC runs done: 20/30
  MC runs done: 21/30
  MC runs done: 22/30
  MC runs done: 23/30
  MC runs done: 24/30
  MC runs done: 25/30
  MC runs done: 26/30
  MC runs done: 27/30
  MC runs done: 28/30
  MC runs done: 29/30
  MC runs done: 30/30
  leak rate 0.642796 +- 0.021508 | shots 28.2 | destroyed value 3007.3

=== dn_5x100_K10_s04.txt (m=5 n=100 K=10 mu=6 pool=30 total_value=8817) ===
  MC runs done: 1/30
  MC runs done: 2/30
  MC runs done: 3/30
  MC runs done: 4/30
  MC runs done: 5/30
  MC runs done: 6/30
  MC runs done: 7/30
  MC runs done: 8/30
  MC runs done: 9/30
  MC runs done: 10/30
  MC runs done: 11/30
  MC runs done: 12/30
  MC runs done: 13/30
  MC runs done: 14/30
  MC runs done: 15/30
  MC runs done: 16/30
  MC runs done: 17/30
  MC runs done: 18/30
  MC runs done: 19/30
  MC runs done: 20/30
  MC runs done: 21/30
  MC runs done: 22/30
  MC runs done: 23/30
  MC runs done: 24/30
  MC runs done: 25/30
  MC runs done: 26/30
  MC runs done: 27/30
  MC runs done: 28/30
  MC runs done: 29/30
  MC runs done: 30/30
  leak rate 0.658198 +- 0.013670 | shots 30.0 | destroyed value 3013.7

=== dn_5x100_K10_s05.txt (m=5 n=100 K=10 mu=6 pool=30 total_value=10196) ===
  MC runs done: 1/30
  MC runs done: 2/30
  MC runs done: 3/30
  MC runs done: 4/30
  MC runs done: 5/30
  MC runs done: 6/30
  MC runs done: 7/30
  MC runs done: 8/30
  MC runs done: 9/30
  MC runs done: 10/30
  MC runs done: 11/30
  MC runs done: 12/30
  MC runs done: 13/30
  MC runs done: 14/30
  MC runs done: 15/30
  MC runs done: 16/30
  MC runs done: 17/30
  MC runs done: 18/30
  MC runs done: 19/30
  MC runs done: 20/30
  MC runs done: 21/30
  MC runs done: 22/30
  MC runs done: 23/30
  MC runs done: 24/30
  MC runs done: 25/30
  MC runs done: 26/30
  MC runs done: 27/30
  MC runs done: 28/30
  MC runs done: 29/30
  MC runs done: 30/30
  leak rate 0.676438 +- 0.016193 | shots 29.1 | destroyed value 3299.0

=== dn_5x100_K10_s06.txt (m=5 n=100 K=10 mu=6 pool=30 total_value=8176) ===
  MC runs done: 1/30
  MC runs done: 2/30
  MC runs done: 3/30
  MC runs done: 4/30
  MC runs done: 5/30
  MC runs done: 6/30
  MC runs done: 7/30
  MC runs done: 8/30
  MC runs done: 9/30
  MC runs done: 10/30
  MC runs done: 11/30
  MC runs done: 12/30
  MC runs done: 13/30
  MC runs done: 14/30
  MC runs done: 15/30
  MC runs done: 16/30
  MC runs done: 17/30
  MC runs done: 18/30
  MC runs done: 19/30
  MC runs done: 20/30
  MC runs done: 21/30
  MC runs done: 22/30
  MC runs done: 23/30
  MC runs done: 24/30
  MC runs done: 25/30
  MC runs done: 26/30
  MC runs done: 27/30
  MC runs done: 28/30
  MC runs done: 29/30
  MC runs done: 30/30
  leak rate 0.635217 +- 0.018140 | shots 30.0 | destroyed value 2982.5

=== dn_5x100_K10_s07.txt (m=5 n=100 K=10 mu=6 pool=30 total_value=8985) ===
  MC runs done: 1/30
  MC runs done: 2/30
  MC runs done: 3/30
  MC runs done: 4/30
  MC runs done: 5/30
  MC runs done: 6/30
  MC runs done: 7/30
  MC runs done: 8/30
  MC runs done: 9/30
  MC runs done: 10/30
  MC runs done: 11/30
  MC runs done: 12/30
  MC runs done: 13/30
  MC runs done: 14/30
  MC runs done: 15/30
  MC runs done: 16/30
  MC runs done: 17/30
  MC runs done: 18/30
  MC runs done: 19/30
  MC runs done: 20/30
  MC runs done: 21/30
  MC runs done: 22/30
  MC runs done: 23/30
  MC runs done: 24/30
  MC runs done: 25/30
  MC runs done: 26/30
  MC runs done: 27/30
  MC runs done: 28/30
  MC runs done: 29/30
  MC runs done: 30/30
  leak rate 0.688314 +- 0.014761 | shots 30.0 | destroyed value 2800.5

=== dn_5x100_K10_s08.txt (m=5 n=100 K=10 mu=6 pool=30 total_value=9141) ===
  MC runs done: 1/30
  MC runs done: 2/30
  MC runs done: 3/30
  MC runs done: 4/30
  MC runs done: 5/30
  MC runs done: 6/30
  MC runs done: 7/30
  MC runs done: 8/30
  MC runs done: 9/30
  MC runs done: 10/30
  MC runs done: 11/30
  MC runs done: 12/30
  MC runs done: 13/30
  MC runs done: 14/30
  MC runs done: 15/30
  MC runs done: 16/30
  MC runs done: 17/30
  MC runs done: 18/30
  MC runs done: 19/30
  MC runs done: 20/30
  MC runs done: 21/30
  MC runs done: 22/30
  MC runs done: 23/30
  MC runs done: 24/30
  MC runs done: 25/30
  MC runs done: 26/30
  MC runs done: 27/30
  MC runs done: 28/30
  MC runs done: 29/30
