[S3] MADDPG (3h tier)
[maddpg] it=25 val=0.96486 (best=0.96486) cl=0.0004 al=0.3068 tau=0.97 buf=5400 wall=100s
[maddpg] it=50 val=1.00000 (best=0.96486) cl=0.0009 al=0.6608 tau=0.94 buf=10800 wall=212s
[maddpg] it=75 val=1.00000 (best=0.96486) cl=0.0006 al=0.7149 tau=0.91 buf=16200 wall=314s
[maddpg] it=100 val=1.00000 (best=0.96486) cl=0.0006 al=0.7054 tau=0.88 buf=21600 wall=422s
[maddpg] it=125 val=0.94381 (best=0.94381) cl=0.0008 al=0.6587 tau=0.84 buf=27000 wall=518s
[maddpg] it=150 val=1.00000 (best=0.94381) cl=0.0006 al=0.7027 tau=0.81 buf=32400 wall=614s
[maddpg] it=175 val=0.94030 (best=0.94030) cl=0.0006 al=0.5810 tau=0.78 buf=37800 wall=709s
[maddpg] it=200 val=0.88068 (best=0.88068) cl=0.0006 al=0.6127 tau=0.75 buf=43200 wall=800s
[maddpg] it=225 val=0.92885 (best=0.88068) cl=0.0005 al=0.5804 tau=0.72 buf=48600 wall=898s
[maddpg] it=250 val=0.87489 (best=0.87489) cl=0.0005 al=0.5858 tau=0.69 buf=54000 wall=990s
[maddpg] it=275 val=0.88705 (best=0.87489) cl=0.0005 al=0.5744 tau=0.66 buf=59400 wall=1082s
[maddpg] it=300 val=0.87060 (best=0.87060) cl=0.0005 al=0.5726 tau=0.63 buf=64800 wall=1174s
[maddpg] it=325 val=0.81159 (best=0.81159) cl=0.0005 al=0.5864 tau=0.59 buf=70200 wall=1266s
[maddpg] it=350 val=0.80850 (best=0.80850) cl=0.0005 al=0.5608 tau=0.56 buf=75600 wall=1357s
[maddpg] it=375 val=0.79856 (best=0.79856) cl=0.0005 al=0.5684 tau=0.53 buf=81000 wall=1449s
[maddpg] it=400 val=0.80222 (best=0.79856) cl=0.0005 al=0.5624 tau=0.50 buf=86400 wall=1550s
[maddpg] it=425 val=0.80966 (best=0.79856) cl=0.0005 al=0.5672 tau=0.47 buf=91800 wall=1658s
[maddpg] it=450 val=0.80669 (best=0.79856) cl=0.0005 al=0.5611 tau=0.44 buf=97200 wall=1763s
[maddpg] it=475 val=0.81521 (best=0.79856) cl=0.0005 al=0.5615 tau=0.41 buf=100000 wall=1869s
[maddpg] it=500 val=0.82361 (best=0.79856) cl=0.0005 al=0.5625 tau=0.38 buf=100000 wall=1975s
[maddpg] it=525 val=0.81697 (best=0.79856) cl=0.0005 al=0.5551 tau=0.34 buf=100000 wall=2080s
[maddpg] done: {"algo": "maddpg", "data_dir": "data/dn-data-v4", "seed": 7, "iters_done": 525, "stopped": "early_stop", "best_val_leak": 0.7985643255325283, "system_params": 37319, "env_steps": 113400, "updates": 28296, "wall_s": 2079.5, "gamma": 0.99, "soft_tau": 0.005, "lr_actor": 0.0001, "lr_critic": 0.0003, "batch": 256, "buffer": 100000, "updates_per_step": 0.25, "device": "mps"}
[S3] QMIX (3h tier)
device=mps algo=qmix agent_params=10242
[qmix iter     25] train 0.8752 | val 0.8132+-0.0226 | eps 0.099 | 48s
[qmix iter     50] train 0.8759 | val 0.9650+-0.0190 | eps 0.098 | 95s
[qmix iter     75] train 0.8738 | val 0.9335+-0.0225 | eps 0.097 | 143s
[qmix iter    100] train 0.8691 | val 0.9529+-0.0240 | eps 0.096 | 190s
[qmix iter    125] train 0.8826 | val 0.9421+-0.0210 | eps 0.095 | 237s
[qmix iter    150] train 0.8736 | val 0.9393+-0.0237 | eps 0.094 | 285s
[qmix iter    175] train 0.8669 | val 0.8945+-0.0233 | eps 0.093 | 332s
[qmix iter    200] train 0.8739 | val 0.8714+-0.0175 | eps 0.092 | 380s
[qmix iter    225] train 0.8625 | val 0.8700+-0.0268 | eps 0.091 | 427s
[qmix iter    250] train 0.8738 | val 0.8907+-0.0232 | eps 0.090 | 474s
[qmix iter    275] train 0.8725 | val 0.9033+-0.0252 | eps 0.089 | 522s
[qmix iter    300] train 0.8758 | val 0.9350+-0.0135 | eps 0.088 | 570s
[qmix iter    325] train 0.8720 | val 0.9297+-0.0256 | eps 0.087 | 618s
qmix training done: early_stop | best val 0.8132 | wall 618s
[S3] MAPPO (3h tier)
device=mps actor_params=10242
[mappo iter     25] train 0.8632 | val 1.0000+-0.0000 | tau 0.99 | 43s
[mappo iter     50] train 0.8576 | val 1.0000+-0.0000 | tau 0.99 | 86s
[mappo iter     75] train 0.8596 | val 1.0000+-0.0000 | tau 0.98 | 129s
[mappo iter    100] train 0.8453 | val 1.0000+-0.0000 | tau 0.98 | 172s
[mappo iter    125] train 0.8582 | val 1.0000+-0.0000 | tau 0.97 | 213s
[mappo iter    150] train 0.8491 | val 1.0000+-0.0000 | tau 0.96 | 254s
[mappo iter    175] train 0.8319 | val 1.0000+-0.0000 | tau 0.96 | 296s
[mappo iter    200] train 0.8297 | val 1.0000+-0.0000 | tau 0.95 | 337s
[mappo iter    225] train 0.8356 | val 1.0000+-0.0000 | tau 0.94 | 378s
[mappo iter    250] train 0.8221 | val 1.0000+-0.0000 | tau 0.94 | 419s
[mappo iter    275] train 0.8166 | val 1.0000+-0.0000 | tau 0.93 | 454s
[mappo iter    300] train 0.8445 | val 0.9672+-0.0432 | tau 0.93 | 489s
[mappo iter    325] train 0.8203 | val 1.0000+-0.0000 | tau 0.92 | 524s
[mappo iter    350] train 0.8171 | val 1.0000+-0.0000 | tau 0.91 | 559s
[mappo iter    375] train 0.8009 | val 1.0000+-0.0000 | tau 0.91 | 594s
[mappo iter    400] train 0.8072 | val 0.9969+-0.0058 | tau 0.90 | 629s
[mappo iter    425] train 0.8057 | val 1.0000+-0.0000 | tau 0.89 | 664s
[mappo iter    450] train 0.8026 | val 1.0000+-0.0000 | tau 0.89 | 698s
[mappo iter    475] train 0.7981 | val 1.0000+-0.0000 | tau 0.88 | 733s
[mappo iter    500] train 0.8171 | val 0.8969+-0.0480 | tau 0.88 | 767s
[mappo iter    525] train 0.7885 | val 1.0000+-0.0000 | tau 0.87 | 804s
[mappo iter    550] train 0.7880 | val 0.9966+-0.0062 | tau 0.86 | 844s
[mappo iter    575] train 0.7936 | val 0.9654+-0.0201 | tau 0.86 | 886s
[mappo iter    600] train 0.7862 | val 0.9829+-0.0126 | tau 0.85 | 925s
[mappo iter    625] train 0.7802 | val 0.9424+-0.0083 | tau 0.84 | 963s
[mappo iter    650] train 0.7647 | val 0.9247+-0.0120 | tau 0.84 | 997s
[mappo iter    675] train 0.7650 | val 0.8451+-0.0115 | tau 0.83 | 1030s
[mappo iter    700] train 0.7725 | val 0.9481+-0.0069 | tau 0.83 | 1062s
[mappo iter    725] train 0.7748 | val 0.8786+-0.0103 | tau 0.82 | 1098s
[mappo iter    750] train 0.7651 | val 0.8302+-0.0158 | tau 0.81 | 1133s
[mappo iter    775] train 0.7750 | val 0.7726+-0.0237 | tau 0.81 | 1168s
[mappo iter    800] train 0.7761 | val 0.7771+-0.0158 | tau 0.80 | 1204s
[mappo iter    825] train 0.7706 | val 0.8600+-0.0228 | tau 0.79 | 1239s
[mappo iter    850] train 0.7652 | val 0.8480+-0.0157 | tau 0.79 | 1274s
[mappo iter    875] train 0.7636 | val 0.8750+-0.0213 | tau 0.78 | 1308s
[mappo iter    900] train 0.7667 | val 0.8100+-0.0318 | tau 0.78 | 1343s
[mappo iter    925] train 0.7625 | val 0.7505+-0.0223 | tau 0.77 | 1378s
[mappo iter    950] train 0.7660 | val 0.7895+-0.0257 | tau 0.76 | 1413s
[mappo iter    975] train 0.7543 | val 0.8067+-0.0286 | tau 0.76 | 1446s
[mappo iter   1000] train 0.7635 | val 0.7574+-0.0182 | tau 0.75 | 1478s
[mappo iter   1025] train 0.7424 | val 0.7997+-0.0301 | tau 0.74 | 1511s
[mappo iter   1050] train 0.7625 | val 0.7743+-0.0277 | tau 0.74 | 1543s
[mappo iter   1075] train 0.7560 | val 0.7570+-0.0250 | tau 0.73 | 1576s
[mappo iter   1100] train 0.7423 | val 0.7726+-0.0210 | tau 0.73 | 1608s
[mappo iter   1125] train 0.7571 | val 0.7163+-0.0167 | tau 0.72 | 1641s
[mappo iter   1150] train 0.7430 | val 0.7348+-0.0210 | tau 0.71 | 1674s
[mappo iter   1175] train 0.7497 | val 0.7298+-0.0171 | tau 0.71 | 1706s
[mappo iter   1200] train 0.7355 | val 0.7681+-0.0292 | tau 0.70 | 1738s
mappo training done: iters_done | best val 0.7163 | wall 1738s
[S3] EC-MAPPO (full tier <=6h)
device=mps actor_params=28482
[iter     25] train 0.8163 | val 1.0000+-0.0000 | tau 0.99 | 163s
[iter     50] train 0.7623 | val 0.9388+-0.0152 | tau 0.99 | 332s
[iter     75] train 0.7301 | val 0.8089+-0.0419 | tau 0.98 | 503s
[iter    100] train 0.7085 | val 0.7449+-0.0235 | tau 0.98 | 678s
[iter    125] train 0.6950 | val 0.7094+-0.0228 | tau 0.97 | 851s
[iter    150] train 0.7006 | val 0.6999+-0.0230 | tau 0.96 | 1022s
[iter    175] train 0.6952 | val 0.6956+-0.0296 | tau 0.96 | 1198s
[iter    200] train 0.6832 | val 0.6858+-0.0264 | tau 0.95 | 1370s
[iter    225] train 0.6853 | val 0.7048+-0.0328 | tau 0.94 | 1541s
[iter    250] train 0.6850 | val 0.6833+-0.0157 | tau 0.94 | 1726s
[iter    275] train 0.6834 | val 0.6748+-0.0241 | tau 0.93 | 1901s
[iter    300] train 0.6928 | val 0.6882+-0.0233 | tau 0.93 | 2070s
[iter    325] train 0.6748 | val 0.6692+-0.0284 | tau 0.92 | 2268s
[iter    350] train 0.6757 | val 0.6582+-0.0184 | tau 0.91 | 2486s
[iter    375] train 0.6697 | val 0.6763+-0.0194 | tau 0.91 | 2661s
[iter    400] train 0.6737 | val 0.7136+-0.0215 | tau 0.90 | 2860s
[iter    425] train 0.6675 | val 0.7011+-0.0265 | tau 0.89 | 3036s
[iter    450] train 0.6757 | val 0.6749+-0.0202 | tau 0.89 | 3248s
[iter    475] train 0.6679 | val 0.6902+-0.0260 | tau 0.88 | 3452s
[iter    500] train 0.6700 | val 0.6632+-0.0286 | tau 0.88 | 3683s
[iter    525] train 0.6770 | val 0.6961+-0.0176 | tau 0.87 | 3895s
[iter    550] train 0.6649 | val 0.6705+-0.0148 | tau 0.86 | 4157s
[iter    575] train 0.6682 | val 0.6869+-0.0185 | tau 0.86 | 4411s
[iter    600] train 0.6723 | val 0.6954+-0.0165 | tau 0.85 | 4652s
[iter    625] train 0.6603 | val 0.6763+-0.0188 | tau 0.84 | 4863s
[iter    650] train 0.6802 | val 0.6980+-0.0226 | tau 0.84 | 5071s
[iter    675] train 0.6706 | val 0.6583+-0.0253 | tau 0.83 | 5278s
[iter    700] train 0.6640 | val 0.6884+-0.0228 | tau 0.83 | 5480s
[iter    725] train 0.6665 | val 0.6930+-0.0250 | tau 0.82 | 5679s
[iter    750] train 0.6627 | val 0.6889+-0.0169 | tau 0.81 | 5876s
[iter    775] train 0.6666 | val 0.6641+-0.0208 | tau 0.81 | 6068s
[iter    800] train 0.6640 | val 0.6736+-0.0223 | tau 0.80 | 6264s
[iter    825] train 0.6600 | val 0.6977+-0.0192 | tau 0.79 | 6451s
[iter    850] train 0.6717 | val 0.7056+-0.0152 | tau 0.79 | 6654s
[iter    875] train 0.6683 | val 0.6968+-0.0161 | tau 0.78 | 6869s
[iter    900] train 0.6770 | val 0.7134+-0.0232 | tau 0.78 | 7079s
[iter    925] train 0.6748 | val 0.7000+-0.0190 | tau 0.77 | 7295s
[iter    950] train 0.6828 | val 0.6770+-0.0264 | tau 0.76 | 7516s
[iter    975] train 0.6742 | val 0.6744+-0.0209 | tau 0.76 | 7721s
[iter   1000] train 0.6788 | val 0.6816+-0.0143 | tau 0.75 | 7942s
[iter   1025] train 0.6607 | val 0.6687+-0.0236 | tau 0.74 | 8156s
[iter   1050] train 0.6609 | val 0.6834+-0.0194 | tau 0.74 | 8357s
[iter   1075] train 0.6685 | val 0.6736+-0.0230 | tau 0.73 | 8568s
[iter   1100] train 0.6623 | val 0.6877+-0.0219 | tau 0.73 | 8776s
[iter   1125] train 0.6646 | val 0.6670+-0.0186 | tau 0.72 | 9011s
[iter   1150] train 0.6641 | val 0.6662+-0.0226 | tau 0.71 | 9232s
[iter   1175] train 0.6707 | val 0.6635+-0.0314 | tau 0.71 | 9453s
[iter   1200] train 0.6697 | val 0.6699+-0.0366 | tau 0.70 | 9681s
[iter   1225] train 0.6774 | val 0.6869+-0.0290 | tau 0.69 | 9912s
[iter   1250] train 0.6624 | val 0.6692+-0.0261 | tau 0.69 | 10141s
[iter   1275] train 0.6631 | val 0.6849+-0.0216 | tau 0.68 | 10368s
[iter   1300] train 0.6677 | val 0.6863+-0.0221 | tau 0.68 | 10591s
